,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,-504.8458,191.30957,-38.434734,6.5141306,-0.12272104,-1.8441423,-15.678273,-13.809437,-13.378094,-9.308198,-3.1655822,-9.967344,-5.3550735
1,-547.9201,187.19191,-13.385132,1.2014238,-5.452264,4.6074367,-0.4342387,-10.600312,-17.993534,-18.51035,-10.141847,-8.646911,-7.140327
2,-627.84534,143.62398,-1.9369318,8.223983,-0.022423694,-4.0556726,-12.092563,-5.7640014,-5.3753295,-9.784264,-5.66295,-5.705279,-2.5791478
3,-561.8199,154.49652,-1.6909103,19.689285,-11.594455,-16.276707,-19.980888,-9.442737,-11.217269,-9.685789,-7.2147737,-10.768011,-1.1438495
4,-652.0749,157.04901,1.1015068,8.531622,-3.911249,-0.7307197,-5.176412,-6.7035146,-6.3164244,-3.663954,-3.5070422,-2.646123,-0.94948936
5,-591.5587,153.76445,-19.450266,26.098822,-4.5885077,3.0719023,-10.118808,-18.69837,-14.726574,0.20716634,-3.8318236,-12.616641,-4.1864643
6,-516.9549,135.37984,-6.9785156,11.813248,4.903531,-1.5879071,-8.668203,-20.402416,-20.867102,-11.155255,-2.9745147,-7.1900196,-6.0326095
7,-615.1544,175.79118,-2.4562535,15.308207,0.6269585,-1.3225069,-15.426692,-14.034916,-11.38009,-12.034563,-9.270832,-0.19449504,-0.12893046
8,-607.2094,151.37134,2.7824259,10.188035,-1.8828086,-2.248729,-8.059478,-12.84164,-9.0276,-10.871744,-7.0289946,-5.839917,-5.524894
9,-561.6707,170.58534,-28.23423,10.361292,-9.163815,5.072586,-13.204987,-14.136726,-15.156833,-15.91388,-10.447592,-8.216674,-3.9140577
10,-582.45575,167.28369,-20.30839,4.5318923,-6.1380367,-2.196232,-10.639186,-11.65355,-10.321128,-14.679577,-9.386469,-8.112456,-4.121072
11,-486.29636,161.89919,-37.72617,4.285647,-6.035674,-0.9582955,-15.6169405,-22.140905,-19.662703,-14.239067,-9.06308,-10.421441,-6.166299
12,-647.3938,142.96703,-2.9586403,12.471089,3.6745837,4.385322,-1.2610815,-8.900844,-13.170589,-12.452131,-5.5649915,-1.9474664,-1.1477672
13,-592.29785,159.9913,7.9344034,8.333937,3.1251707,-1.5143795,-12.826154,-16.4707,-12.681847,-13.827739,-10.426635,-7.568221,-3.9235337
14,-603.93146,149.6234,-1.2962373,3.8616407,2.0808864,-4.0102715,-8.622458,-13.158118,-13.848011,-12.905856,-6.7516766,-3.946492,-3.019798
15,-627.97925,157.3097,-3.6734304,11.967139,-2.1187038,-4.8813686,-13.904,-7.506725,-4.952881,-5.7217884,-7.3806753,-5.33095,3.1144722
16,-639.30774,147.0407,-11.686241,15.294151,5.226993,6.166318,-9.4789295,-9.50029,-9.649554,-6.3773236,-2.5613155,-1.3689061,-2.7715027
17,-530.59674,170.52089,-40.95443,7.883356,-6.165117,-2.52519,-15.289147,-15.332741,-17.225052,-17.225193,-3.7314153,-8.5252,-5.7655044
18,-612.7512,156.39871,-16.953806,18.295885,11.713722,8.83253,-7.15494,-14.565997,-17.464794,-16.964325,-6.3193913,-6.0053916,-7.9918246
19,-590.41284,144.01332,-15.832183,11.752557,3.380832,13.010276,-8.15356,-12.811736,-14.042801,-17.043972,-8.6649475,-7.1075897,-6.1302743
20,-614.76855,155.60356,-21.048517,10.773007,0.39678064,9.385743,-10.509705,-10.605561,-5.2992053,-10.467165,-9.426759,-0.80664486,-0.84404415
21,-550.7572,153.49017,-34.79019,19.886251,1.4044453,5.9193172,-6.408478,-16.671741,-17.446987,-19.794647,-8.175624,-7.0764723,-7.420718
22,-570.44714,153.29416,-26.983173,26.756128,2.995733,8.6512985,-9.677802,-16.59586,-16.625845,-13.412291,-8.234553,-10.074015,-10.89755
23,-587.61566,162.919,-15.888316,15.660235,-9.245506,0.40898654,-8.276171,-20.880863,-14.271575,-5.3239574,-2.398556,-3.8985562,-4.0463448
24,-585.1288,120.43556,-2.0497549,9.938649,-14.031099,1.520262,-1.5375948,-8.988364,-13.044263,-4.2233734,-0.87968814,-2.9698048,-1.0046493
25,-528.9154,168.27591,-43.820885,0.03930664,-6.844473,-7.177461,-16.458744,-11.389188,-11.406574,-8.721033,-2.9959142,-9.869593,3.091086
26,-536.8781,179.2447,-35.300858,7.5380836,-3.120708,-3.2879725,-18.367085,-17.855501,-10.599017,-19.743702,-14.8559265,-6.7567425,-3.3916209
