,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35
0,-504.8458,191.30957,-38.434734,6.5141306,-0.12272118,-1.8441426,-15.678275,-13.809437,-13.378094,-9.308198,-3.1655822,-9.967343,-5.3550735,-696.15533,229.7443,-44.948864,6.636852,1.7214214,13.834131,-1.8688382,-0.43134198,-4.0698953,-6.1426167,6.801761,-4.6122694,-925.8996,274.69315,-51.585716,4.91543,-12.11271,15.7029705,-1.4374969,3.638553,2.0727215,-12.944378,11.414031
1,-547.9201,187.19193,-13.385132,1.201424,-5.452264,4.6074367,-0.43423858,-10.60031,-17.993532,-18.51035,-10.141847,-8.646911,-7.1403275,-735.112,200.57704,-14.586555,6.653688,-10.059699,5.041675,10.166072,7.3932214,0.5168175,-8.368504,-1.4949347,-1.5065836,-935.689,215.16359,-21.240244,16.713388,-15.101377,-5.1243973,2.7728508,6.8764043,8.885322,-6.8735695,0.01164851
2,-627.84534,143.62398,-1.9369313,8.223982,-0.022423906,-4.0556726,-12.092563,-5.7640014,-5.3753295,-9.784265,-5.6629496,-5.7052794,-2.5791478,-771.46936,145.5609,-10.160913,8.246407,4.0332484,8.03689,-6.32856,-0.38867202,4.4089346,-4.1213145,0.042329617,-3.1261308,-917.03015,155.72182,-18.40732,4.213158,-4.003641,14.36545,-5.939888,-4.797607,8.530249,-4.1636443,3.1684604
3,-561.8199,154.49652,-1.69091,19.689285,-11.594455,-16.276707,-19.980886,-9.442737,-11.217268,-9.685789,-7.2147737,-10.768011,-1.1438496,-716.3164,156.18742,-21.380196,31.283741,4.6822534,3.7041786,-10.538151,1.7745324,-1.5314794,-2.4710157,3.5532377,-9.624162,-872.5038,177.56763,-52.663937,26.601486,0.97807443,14.242331,-12.312683,3.306012,0.9395363,-6.0242534,13.177401
4,-652.0749,157.04901,1.1015068,8.531623,-3.9112492,-0.7307197,-5.1764116,-6.7035146,-6.3164244,-3.6639543,-3.5070424,-2.646123,-0.9494894,-809.1239,155.94751,-7.4301157,12.442872,-3.1805296,4.4456925,1.5271031,-0.3870902,-2.6524706,-0.15691197,-0.8609196,-1.6966336,-965.0714,163.37762,-19.872988,15.623402,-7.6262217,2.9185896,1.914193,2.2653804,-2.4955587,0.7040074,0.83571416
5,-591.5587,153.76445,-19.450266,26.098822,-4.5885077,3.0719025,-10.118808,-18.69837,-14.726574,0.20716634,-3.8318233,-12.616641,-4.1864643,-745.32306,173.2147,-45.549088,30.687326,-7.6604104,13.190711,8.579562,-3.9717958,-14.933741,4.0389895,8.78482,-8.430178,-918.53784,218.76378,-76.236404,38.347736,-20.85112,4.6111474,12.551359,10.961944,-18.97273,-4.7458296,17.214998
6,-516.9549,135.37984,-6.9785156,11.813247,4.903531,-1.5879077,-8.668203,-20.402414,-20.867102,-11.155255,-2.9745147,-7.1900196,-6.0326095,-652.3347,142.35834,-18.791761,6.9097157,6.491439,7.0802956,11.73421,0.46468627,-9.711845,-8.18074,4.2155046,-1.1574103,-794.693,161.1501,-25.701477,0.4182769,-0.588857,-4.6539145,11.269524,10.176531,-1.5311053,-12.396244,5.3729153
7,-615.1544,175.79118,-2.4562538,15.308206,0.6269585,-1.3225067,-15.426691,-14.034916,-11.380092,-12.034563,-9.270832,-0.19449502,-0.12893061,-790.9456,178.24742,-17.76446,14.681248,1.9494652,14.104184,-1.3917751,-2.6548254,0.6544729,-2.7637312,-9.076337,-0.065564506,-969.193,196.01189,-32.445705,12.731782,-12.154719,15.49596,1.2630503,-3.3092985,3.4182043,6.3126054,-9.010773
8,-607.2094,151.37134,2.7824259,10.188035,-1.8828093,-2.2487292,-8.059478,-12.8416395,-9.0276,-10.871744,-7.0289946,-5.839917,-5.524894,-758.58075,148.58891,-7.40561,12.070844,0.36592034,5.810748,4.782163,-3.814039,1.8441428,-3.8427484,-1.1890776,-0.31502268,-907.16974,155.99452,-19.476454,11.704924,-5.4448276,1.0285848,8.596202,-5.658182,5.6868916,-2.6536713,-0.87405443
9,-561.6707,170.58534,-28.23423,10.361292,-9.163815,5.072586,-13.204987,-14.136726,-15.156834,-15.913879,-10.447592,-8.216674,-3.9140577,-732.2561,198.81956,-38.595516,19.525108,-14.236401,18.277573,0.93174136,1.0201063,0.7570462,-5.466288,-2.2309182,-4.3026156,-931.0756,237.41508,-58.12062,33.76151,-32.513973,17.345833,-0.088365026,0.26306054,6.2233343,-3.23537,2.0716972
10,-582.4558,167.28368,-20.30839,4.5318923,-6.1380363,-2.1962318,-10.639188,-11.65355,-10.321128,-14.679577,-9.386468,-8.112456,-4.121071,-749.7395,187.59209,-24.84028,10.669929,-3.9418046,8.442955,1.0143632,-1.3324221,4.358448,-5.2931075,-1.2740138,-3.9913838,-937.33154,212.43236,-35.51021,14.611733,-12.38476,7.4285913,2.3467853,-5.6908703,9.651555,-4.0190935,2.71737
11,-486.29636,161.89919,-37.72617,4.2856474,-6.0356746,-0.95829535,-15.6169405,-22.140905,-19.662703,-14.239067,-9.06308,-10.421441,-6.166299,-648.1956,199.62537,-42.011818,10.3213215,-5.0773787,14.658646,6.523966,-2.4782052,-5.423636,-5.1759863,1.358362,-4.2551427,-847.8209,241.63718,-52.333138,15.398701,-19.736025,8.134681,9.0021715,2.9454305,-0.24764922,-6.534349,5.6135044
12,-647.3938,142.96703,-2.9586406,12.47109,3.6745844,4.385322,-1.2610815,-8.900844,-13.170589,-12.452131,-5.5649915,-1.9474664,-1.1477671,-790.3608,145.92566,-15.42973,8.796507,-0.7107377,5.646404,7.639762,4.269746,-0.7184581,-6.8871403,-3.6175241,-0.7996993,-936.2864,161.3554,-24.226236,9.507244,-6.357141,-1.9933587,3.3700159,4.988205,6.1686826,-3.2696161,-2.8178253
13,-592.2978,159.9913,7.9344025,8.333937,3.1251712,-1.5143794,-12.826153,-16.4707,-12.681847,-13.82774,-10.426635,-7.568221,-3.9235337,-752.28906,152.0569,-0.39953402,5.2087655,4.63955,11.311772,3.6445463,-3.7888517,1.1458914,-3.4011045,-2.8584132,-3.644688,-904.34595,152.45642,-5.6082993,0.5692147,-6.6722226,7.667227,7.433398,-4.934744,4.546996,-0.542691,0.78627455
14,-603.93146,149.6234,-1.2962375,3.8616405,2.0808868,-4.0102715,-8.62246,-13.158118,-13.84801,-12.905856,-6.751676,-3.9464915,-3.019798,-753.5549,150.91965,-5.157878,1.7807536,6.091159,4.6121874,4.535659,0.6898927,-0.94215435,-6.15418,-2.8051846,-0.9266938,-904.47455,156.07753,-6.9386315,-4.310405,1.4789712,0.07652874,3.8457665,1.6320472,5.212026,-3.348996,-1.8784908
15,-627.97925,157.3097,-3.67343,11.967138,-2.1187036,-4.8813686,-13.904,-7.506725,-4.9528804,-5.721789,-7.380675,-5.3309493,3.1144724,-785.289,160.98312,-15.640569,14.085842,2.7626648,9.022632,-6.3972764,-2.5538445,0.76890844,1.6588858,-2.0497255,-8.445422,-946.2721,176.62369,-29.72641,11.323176,-6.2599683,15.419909,-3.843432,-3.3227525,-0.8899773,3.708611,6.3956957
16,-639.30774,147.04068,-11.686241,15.294151,5.226993,6.166318,-9.4789295,-9.50029,-9.649554,-6.377323,-2.5613155,-1.368906,-2.7715025,-786.34845,158.72693,-26.980394,10.067159,-0.939325,15.645247,0.021360394,0.14926438,-3.2722306,-3.8160074,-1.1924098,1.4025967,-945.07526,185.7073,-37.047554,11.006484,-16.584572,15.623887,-0.12790419,3.421495,0.54377705,-2.623598,-2.5950065
17,-530.59674,170.52089,-40.954433,7.883356,-6.1651163,-2.5251904,-15.289146,-15.332741,-17.225052,-17.225193,-3.7314153,-8.5252,-5.7655044,-701.1176,211.47534,-48.837788,14.048473,-3.6399262,12.763957,0.04359468,1.8923097,0.00014246257,-13.493778,4.793785,-2.7596958,-912.59296,260.3131,-62.886265,17.6884,-16.403883,12.720362,-1.8487152,1.8921673,13.493921,-18.287563,7.553481
18,-612.7512,156.3987,-16.953796,18.295877,11.713729,8.832525,-7.1549377,-14.566,-17.464794,-16.964327,-6.3193913,-6.005392,-7.9918237,-769.14996,173.3525,-35.249676,6.582149,2.8812032,15.987462,7.4110627,2.8987935,-0.5004676,-10.644935,-0.31399906,1.9864318,-942.50244,208.60216,-41.83183,3.7009454,-13.106259,8.576401,4.5122685,3.3992612,10.144466,-10.330935,-2.300431
19,-590.41284,144.0133,-15.8321705,11.752546,3.3808372,13.010272,-8.153558,-12.811738,-14.042801,-17.04397,-8.6649475,-7.107589,-6.1302743,-734.4262,159.84547,-27.584719,8.371709,-9.629435,21.16383,4.65818,1.2310628,3.001171,-8.3790245,-1.5573581,-0.977315,-894.2716,187.43019,-35.95643,18.001144,-30.793262,16.505651,3.4271166,-1.7701082,11.380196,-6.821666,-0.58004314
20,-614.76855,155.60356,-21.048517,10.773008,0.39678064,9.385743,-10.509705,-10.605561,-5.299206,-10.467164,-9.426759,-0.8066448,-0.84404427,-770.3721,176.65207,-31.821526,10.376227,-8.988963,19.895447,0.09585664,-5.3063555,5.167959,-1.040406,-8.620113,0.0373994,-947.02423,208.47359,-42.19775,19.365189,-28.884407,19.79959,5.402211,-10.474315,6.2083654,7.5797076,-8.657514
21,-550.7572,153.49017,-34.79019,19.886251,1.4044459,5.9193172,-6.4084783,-16.671741,-17.446987,-19.794647,-8.175624,-7.0764728,-7.420718,-704.2473,188.28036,-54.67644,18.481806,-4.5148726,12.327796,10.263263,0.7752459,2.3476603,-11.619024,-1.0991514,0.3442462,-892.52765,242.9568,-73.15825,22.996677,-16.842669,2.0645325,9.488018,-1.5724139,13.966683,-10.519874,-1.4433978
22,-570.44714,153.29417,-26.983173,26.756128,2.9957325,8.651298,-9.677802,-16.595858,-16.625845,-13.412291,-8.234553,-10.074015,-10.89755,-723.7413,180.27736,-53.739304,23.760395,-5.6555653,18.3291,6.918056,0.02998568,-3.2135549,-5.1777377,1.8394634,0.82353336,-904.0186,234.01665,-77.499695,29.41596,-23.984665,11.411044,6.888071,3.243541,1.9641832,-7.017201,1.0159298
23,-587.6156,162.91898,-15.888306,15.660227,-9.2455,0.40898144,-8.276167,-20.880869,-14.271575,-5.3239584,-2.398556,-3.8985565,-4.0463448,-750.53467,178.80727,-31.54853,24.905724,-9.65448,8.685147,12.604701,-6.6092935,-8.947616,-2.9254024,1.5000002,0.14778835,-929.34186,210.35582,-56.454258,34.560207,-18.339628,-3.9195528,19.213995,2.3383226,-6.0222135,-4.425402,1.352212
24,-585.1288,120.43556,-2.0497549,9.938649,-14.031098,1.520262,-1.5375948,-8.988363,-13.044263,-4.223373,-0.8796881,-2.9698048,-1.0046493,-705.5644,122.48532,-11.988404,23.969748,-15.551361,3.057857,7.4507685,4.0558996,-8.82089,-3.343685,2.0901165,-1.9651552,-828.0497,134.47371,-35.958153,39.521107,-18.609219,-4.3929114,3.3948686,12.87679,-5.4772053,-5.4338017,4.055272
25,-528.91547,168.27591,-43.820885,0.039306358,-6.8444724,-7.177461,-16.458744,-11.389186,-11.406573,-8.721034,-2.9959147,-9.869594,3.0910861,-697.19135,212.0968,-43.86019,6.8837795,0.33298883,9.281283,-5.069559,0.017386593,-2.6855392,-5.725119,6.8736787,-12.960679,-909.28815,255.95699,-50.743973,6.5507903,-8.948295,14.350843,-5.086945,2.7029257,3.0395799,-12.598797,19.834358
26,-536.8781,179.2447,-35.300858,7.5380836,-3.120708,-3.2879725,-18.367085,-17.855501,-10.599017,-19.743702,-14.8559265,-6.756743,-3.3916209,-716.1228,214.54556,-42.838943,10.6587925,0.16726401,15.079112,-0.51158226,-7.2564855,9.144687,-4.887777,-8.099185,-3.3651216,-930.66833,257.3845,-53.49773,10.4915285,-14.911849,15.590693,6.744902,-16.401173,14.032462,3.2114067,-4.734062
27,-525.7351,131.05486,-17.803484,3.4961212,9.05515,3.375712,-13.11308,-17.120264,-11.613306,-13.590911,-8.195396,-7.007256,-8.324058,-656.79004,148.85834,-21.299604,-5.5590286,5.679438,16.48879,4.007186,-5.5069575,1.9776047,-5.3955145,-1.18814,1.3168008,-805.6482,170.15793,-15.740577,-11.238467,-10.809353,12.481605,9.514144,-7.484563,7.3731203,-4.2073755,-2.5049412
28,-590.8348,154.0595,-19.364803,14.965189,4.4429865,6.535083,-8.243615,-14.490973,-8.679858,-15.063623,-11.411368,-7.7089424,-7.0677705,-744.8943,173.4243,-34.329994,10.5222025,-2.0920954,14.778699,6.2473593,-5.8111157,6.383765,-3.6522553,-3.7024257,-0.64117193,-918.3186,207.75427,-44.852196,12.614298,-16.870794,8.53134,12.0584755,-12.194882,10.03602,0.050170403,-3.0612538
29,-557.20056,158.95285,-13.848406,15.814397,-1.250952,-0.91478866,-11.518535,-14.749311,-6.532742,-16.489363,-13.767735,-10.505369,-11.019878,-716.15344,172.80125,-29.662804,17.065348,-0.3361641,10.603745,3.2307768,-8.216569,9.95662,-2.721628,-3.2623656,0.5145091,-888.9548,202.46408,-46.72815,17.401512,-10.939909,7.3729687,11.447346,-18.173191,12.678248,0.5407379,-3.7768748
30,-440.2334,158.12144,-51.424454,0.27826226,-9.749948,-17.113846,-16.706478,-17.080954,-22.180998,-15.74419,-10.423085,-9.529555,1.0010897,-598.35486,209.5459,-51.702713,10.028212,7.3638973,-0.40736958,0.37447605,5.100045,-6.436806,-5.321106,-0.89352953,-10.530645,-807.9007,261.2486,-61.730923,2.6643152,7.771265,-0.7818449,-4.725569,11.536851,-1.1157,-4.4275765,9.637116
31,-555.84534,145.90268,-23.252678,25.892263,7.4600186,-4.634151,-6.52719,-16.097345,-17.80782,-14.568044,-8.195885,-5.378798,-4.9408207,-701.74805,169.15535,-49.14494,18.432245,12.094171,1.8930396,9.570155,1.7104738,-3.2397757,-6.37216,-2.817086,-0.43797737,-870.90344,218.30031,-67.57719,6.338074,10.201131,-7.6771145,7.8596807,4.9502497,3.132384,-3.5550728,-2.3791087
32,-471.50198,147.30101,-18.388483,6.5583863,-5.3058124,-12.503699,-18.671535,-22.89667,-16.152256,-9.723819,-13.854042,-12.037605,-1.7754202,-618.803,165.6895,-24.946869,11.864198,7.1978865,6.167836,4.225136,-6.7444158,-6.4284377,4.130224,-1.8164363,-10.262185,-784.49243,190.63635,-36.81107,4.6663113,1.0300499,1.9427009,10.96955,-0.31597802,-10.558661,5.9466605,8.445749
33,-442.99362,164.98688,-42.97973,5.672304,-4.5237126,-6.3079295,-19.34138,-25.691607,-25.781584,-20.001232,-7.975392,-8.22257,-7.097194,-607.9805,207.96661,-48.652035,10.196017,1.7842164,13.03345,6.350227,0.08997673,-5.7803483,-12.025844,0.24717851,-1.1253765,-815.9471,256.61865,-58.84805,8.4118,-11.249232,6.6832223,6.2602506,5.8703246,6.2454944,-12.273022,1.3725551
34,-563.79047,158.02347,-11.230905,11.977025,-8.467523,-11.047823,-11.084687,-15.182179,-12.5464945,-6.9774704,-5.5599885,-5.773253,-0.10312945,-721.81396,169.25438,-23.207928,20.44455,2.5803006,0.036864173,4.0974927,-2.635686,-5.569023,-1.4174814,0.21326384,-5.6701226,-891.0683,192.46231,-43.65248,17.864248,2.543436,-4.060628,6.7331786,2.9333377,-4.1515427,-1.6307449,5.883387
35,-526.5365,166.18373,-8.173456,12.588244,-13.016072,-17.895512,-7.144077,-15.263091,-21.913496,-13.545345,-7.368246,-10.324028,-3.388114,-692.7202,174.35718,-20.7617,25.604319,4.8794374,-10.751434,8.119013,6.6504064,-8.36815,-6.1771007,2.9557815,-6.9359136,-867.0773,195.11887,-46.36602,20.724878,15.630872,-18.870445,1.4686067,15.018556,-2.191049,-9.132881,9.891694
36,-549.99805,156.22823,-12.158516,11.326801,-3.3337238,-12.462993,-12.832822,-16.858171,-11.828161,-8.785609,-10.754764,-6.22262,-0.44126025,-706.2262,168.38673,-23.485317,14.660525,9.129268,0.36982957,4.025349,-5.03001,-3.0425513,1.969154,-4.5321436,-5.7813597,-874.613,191.87204,-38.14584,5.531256,8.7594385,-3.6555202,9.055359,-1.987459,-5.011706,6.501298,1.2492155
37,-479.17233,119.84123,-10.524217,13.951385,4.9101753,-10.494901,-13.049897,-12.8905525,-15.054755,-13.605807,-3.2873564,-9.730525,-12.0810175,-599.01355,130.36545,-24.475601,9.04121,15.405075,2.554997,-0.15934396,2.1642044,-1.4489497,-10.318451,6.4431686,2.3504915,-729.37897,154.84105,-33.51681,-6.363864,12.850079,2.714341,-2.3235483,3.6131544,8.869501,-16.76162,4.092677
38,-551.80975,128.22888,10.600259,3.6617482,0.16428965,-6.4009433,-8.506711,-11.138148,-14.230133,-13.763649,-5.7828503,-1.3954531,-5.4652214,-680.03864,117.628624,6.9385095,3.497458,6.565233,2.1057684,2.631437,3.0919828,-0.4664834,-7.9807982,-4.3873973,4.069768,-797.6673,110.69013,3.4410517,-3.0677745,4.4594646,-0.52566934,-0.4605455,3.5584657,7.5143147,-3.5934007,-8.457166
39,-556.9005,146.55835,-9.050122,15.558138,-0.16520064,-6.840248,-10.485538,-20.435608,-8.892963,-7.2353935,-11.026315,-7.8094716,-6.4940715,-703.45886,155.60847,-24.608261,15.723336,6.6750464,3.64529,9.95007,-11.542643,-1.6575707,3.7909224,-3.2168453,-1.3153989,-859.06744,180.21674,-40.331596,9.04829,3.029757,-6.30478,21.492714,-9.885072,-5.4484935,7.0077677,-1.9014456
40,-506.1672,146.69456,-10.494057,-1.9452553,-3.4464958,-10.045434,-18.462078,-23.352127,-17.489683,-10.632933,-4.3185863,-4.9983864,-4.4246044,-652.8618,157.18864,-8.548802,1.5012404,6.5989375,8.416643,4.8900495,-5.862444,-6.8567495,-6.314346,0.6797998,-0.57378185,-810.0505,165.73743,-10.050042,-5.0976973,-1.8177056,3.5265946,10.752492,0.9943065,-0.5424039,-6.9941463,1.253582
41,-586.5878,165.66566,-14.786174,13.775275,1.2087362,3.0426288,-11.081234,-8.555494,-6.1909757,-15.515709,-10.652331,-8.457768,-8.283203,-752.2535,180.45184,-28.56145,12.56654,-1.8338931,14.123861,-2.5257385,-2.364519,9.324732,-4.863377,-2.1945622,-0.17456536,-932.7053,209.01329,-41.127987,14.400433,-15.957755,16.6496,-0.16121902,-11.689252,14.188108,-2.6688147,-2.019997
42,-511.0235,138.51883,-27.771896,15.6969595,1.6437801,1.3649788,-16.95417,-21.319616,-15.301466,-14.069878,-8.011874,-5.869388,-3.9716814,-649.54236,166.29073,-43.468853,14.053181,0.27880138,18.319147,4.365449,-6.0181527,-1.231588,-6.0580025,-2.1424866,-1.8977066,-815.833,209.75957,-57.522034,13.774378,-18.040348,13.953698,10.383602,-4.786565,4.826414,-3.9155152,-0.24477993
43,-524.87756,166.22865,-31.604357,11.757903,-0.55181444,-3.355373,-20.365593,-26.96055,-21.82726,-14.0604725,-7.6677737,-7.6198,-2.9578335,-691.1061,197.83298,-43.36226,12.309716,2.8035588,17.01022,6.5949583,-5.133291,-7.7667885,-6.3926992,-0.047974147,-4.661966,-888.9391,241.19525,-55.671974,9.506157,-14.206662,10.415261,11.728249,2.6334982,-1.3740885,-6.3447256,4.6139917
44,-505.66434,171.43259,-15.992622,3.550302,8.651151,1.8057618,-9.961894,-15.969725,-14.796114,-20.127747,-10.437372,-5.771229,-5.0502987,-677.0969,187.42522,-19.542923,-5.100848,6.8453884,11.767655,6.0078306,-1.1736108,5.331632,-9.690373,-4.6661444,-0.7209299,-864.5221,206.96814,-14.442076,-11.946237,-4.922267,5.7598248,7.1814413,-6.5052423,15.022003,-5.024229,-3.945214
45,-529.7422,153.6934,-4.600584,4.9573636,10.128541,-2.4123867,-13.165026,-17.254187,-10.884794,-14.648155,-15.716787,-7.438566,-7.4903736,-683.43555,158.29399,-9.557948,-5.1711783,12.54093,10.752639,4.08916,-6.369391,3.7633615,1.0686331,-8.278223,0.051808085,-841.72955,167.85193,-4.3867702,-17.712107,1.7882906,6.663479,10.458551,-10.132752,2.6947284,9.346855,-8.330031
46,-563.98364,151.93233,4.6888943,-2.3446717,-1.0293992,-2.4475396,-11.647421,-15.643079,-12.28991,-15.198666,-9.354216,-1.8694239,-3.5029523,-715.9159,147.24342,7.033566,-1.3152721,1.4181398,9.199882,3.9956577,-3.3531687,2.9087553,-5.8444495,-7.4847918,1.6335285,-863.15936,140.20987,8.348838,-2.733412,-7.781742,5.2042246,7.3488264,-6.2619247,8.753205,1.6403421,-9.1183195
47,-506.7757,153.9887,-20.91539,9.571195,0.33283165,-4.5446525,-10.814502,-11.509326,-18.682621,-23.079811,-9.567885,-13.083103,-13.16373,-660.7644,174.90407,-30.486586,9.238364,4.8774843,6.2698483,0.6948235,7.1732955,4.397188,-13.511924,3.515218,0.08062546,-835.66846,205.39064,-39.72495,4.360881,-1.3923646,5.5750256,-6.4784727,2.776108,17.909113,-17.027143,3.4345925
48,-506.49326,161.60732,-19.735184,10.415939,-3.753035,-7.0360026,-14.43087,-17.258667,-20.247898,-13.490666,-3.830694,-6.8532825,-4.511501,-668.10046,181.3425,-30.151125,14.168975,3.2829678,7.3948665,2.827798,2.9892282,-6.7572303,-9.659971,3.0225878,-2.3417814,-849.443,211.49362,-44.320095,10.886005,-4.1118984,4.567069,-0.16142963,9.746457,2.9027407,-12.682561,5.364369
49,-456.81448,155.05672,-26.21147,11.762973,-4.5985746,-9.71449,-17.945578,-27.209682,-22.991354,-15.961633,-8.670707,-7.6210413,-3.9826438,-611.8712,181.2682,-37.97444,16.361547,5.1159153,8.231088,9.264106,-4.2183275,-7.0297227,-7.290926,-1.0496656,-3.6383975,-793.13934,219.24265,-54.335987,11.245631,-3.1151714,-1.0330191,13.482433,2.8113942,0.26120386,-6.24126,2.5887318
50,-488.53812,153.10426,-28.878325,-0.28396812,3.1130552,-2.0084016,-19.342457,-16.945919,-12.879028,-7.92006,0.55898875,-5.319192,-4.067315,-641.64233,181.98257,-28.594357,-3.397023,5.1214576,17.334055,-2.396537,-4.066891,-4.958967,-8.47905,5.878181,-1.2518771,-823.62494,210.57695,-25.197334,-8.51848,-12.212599,19.730593,1.6703546,0.89207596,3.5200825,-14.357229,7.130058
51,-490.42792,155.58151,-34.265793,11.599491,-3.8705416,-3.5379758,-14.894737,-19.770845,-14.607254,-17.696245,-13.808225,-13.25974,-6.500223,-646.0094,189.8473,-45.865284,15.470033,-0.33256543,11.356763,4.8761086,-5.1635923,3.0889919,-3.8880239,-0.548482,-6.7595167,-835.85675,235.71259,-61.33532,15.802598,-11.689327,6.480653,10.0397005,-8.252584,6.9770155,-3.3395412,6.211035
52,-449.89783,165.86865,-46.83425,0.5720824,-11.832725,-9.6094675,-15.812706,-20.658043,-18.74922,-19.855095,-15.183276,-9.117486,-7.550155,-615.76654,212.70291,-47.40633,12.404808,-2.223256,6.2032385,4.845335,-1.9088204,1.105875,-4.6718183,-6.0657916,-1.5673304,-828.4694,260.10925,-59.811142,14.628064,-8.426494,1.3579034,6.754154,-3.0146952,5.777693,1.3939737,-4.498461
53,-472.7889,125.75633,-26.662172,7.642418,-6.5486717,-0.8386184,-8.826144,-17.123354,-20.326977,-13.538272,-3.176947,-7.5016136,-10.497566,-598.5452,152.41852,-34.30459,14.191091,-5.710054,7.987527,8.297209,3.2036228,-6.788705,-10.361324,4.3246665,2.9959526,-750.9637,186.7231,-48.49568,19.901142,-13.69758,-0.30968302,5.0935864,9.992328,3.5726204,-14.685991,1.3287141
54,-627.2786,159.76233,-10.04744,16.739943,6.665244,5.8814654,-8.137764,-6.6750517,-11.742375,-11.870007,-8.664675,-9.378388,-5.093425,-787.04095,169.80977,-26.787382,10.074699,0.7837795,14.01923,-1.462713,5.067323,0.12763046,-3.2053308,0.713713,-4.2849636,-956.8507,196.59715,-36.86208,9.290918,-13.23545,15.481944,-6.5300364,4.9396925,3.3329616,-3.9190435,4.9986763
55,-522.7924,150.33022,-26.145267,4.456203,-5.123921,-0.14167477,-5.179411,-15.894105,-18.399187,-18.7808,-7.708917,-5.343085,-8.506287,-673.1226,176.47546,-30.60147,9.580126,-4.9822464,5.0377364,10.714694,2.5050833,0.38161248,-11.071884,-2.3658323,3.1632016,-849.598,207.07697,-40.1816,14.562369,-10.019982,-5.6769576,8.209611,2.1234708,11.453497,-8.706051,-5.529034
56,-536.8299,140.89377,-31.796923,8.646455,-5.443393,-3.4344418,-11.69128,-10.310087,-10.367654,-11.593577,-7.0990767,-11.215773,-2.1933765,-677.7237,172.69067,-40.44338,14.089848,-2.0089517,8.256839,-1.3811927,0.05756727,1.225923,-4.494501,4.116695,-9.022396,-850.41437,213.13406,-54.53323,16.0988,-10.26579,9.638032,-1.4387599,-1.1683556,5.7204237,-8.6111965,13.1390915
57,-532.80585,130.7737,-17.019087,3.8990057,-4.4763484,0.38725293,-8.336316,-14.035194,-13.4244795,-9.3371,-4.3513403,-7.727716,-5.981943,-663.57947,147.79279,-20.91809,8.375354,-4.8636017,8.723569,5.6988783,-0.61071426,-4.0873804,-4.9857583,3.3763747,-1.7457722,-811.3723,168.71088,-29.293444,13.238955,-13.58717,3.0246916,6.309592,3.4766662,0.8983785,-8.362134,5.1221476
